Stany magazynowe towarów: na dzień 2026-04-27, jednostka dodatkowa1					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
01S01/01	Kod zerowy.	szt	0	0	0
03S01/02	Sklejka liściasta suchotrwała 3x1525x1525 B/B	szt	0	0	0
03S02/02	Sklejka liściasta suchotrwała 3x1525x1525 B/BB	szt	0	0	0
03S04/02	Sklejka liściasta suchotrwała 3x1525x1525 BB/BB	szt	0	0	0
03S04/02 Laser	Sklejka liściasta suchotrwała 3x1525x1525 BB/BB do cięcia laserem	szt	0	0	0
03S05/02	Sklejka liściasta suchotrwała 3x1525x1525 BB/CP	szt	0	0	0,02
03S07/02	Sklejka liściasta suchotrwała 3x1525x1525 CP/CP	szt	0	0	0
03S10/02	Sklejka liściasta suchotrwała 3x1525x1525 C/C	szt	0	0	0
03S18/02	Sklejka liściasta suchotrwała 3x1525x1525 CP/C	szt	0	0	0
03S22/02	Sklejka liściasta suchotrwała 3x1525x1525 BB/C	szt	0	0	0
03S22/43	Sklejka liściasta suchotrwała 3x1525x1475 BB/C	szt	0	0	0
04S02/02	Sklejka liściasta suchotrwała 4x1525x1525 B/BB	szt	0	0	0
04S04/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/BB	szt	0	0	0
04S04/04 E	Sklejka liściasta wodoodporna 4x2440x1220 BB/BB	szt	0	0	0
04S04/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/BB	szt	363,8723	78,23	28465,89
04S04/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/BB	szt	0	0	0
04S04/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/BB	szt	0	0	0
04S04/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/BB	szt	0	0	0
04S05/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/CP	szt	0	0	0,04
04S05/04 E	Sklejka liściasta wodoodporna 4x2440x1220 BB/CP	szt	0	0	0
04S05/05 BX	Sklejka iglasta wodoodporna 4x1250x2500mm	szt	0	0	0
04S05/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/CP	szt	0	0	0
04S05/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/CP	szt	1282,8588	77,74	99732,26
04S05/06 E BX	Sklejka iglasta wodoodporna 4x2500x1250 BX	szt	0	0	0
04S05/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/CP	szt	310,0275	134,33	41644,96
04S05/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/CP	szt	0	0	0
04S05/12 E EUK	Sklejka liściasta 4x1500x3000 BB/CP	szt	0	0	0
04S06/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/WG	szt	0	0	0
04S06/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/WG	szt	0	0	0
04S06/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/WG	szt	0	0	0
04S06/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/WG	szt	300	171,98	51593,68
04S07/02	Sklejka liściasta suchotrwała 4x1525x1525 CP/CP	szt	0	0	0,11
04S07/03 E	Sklejka liściasta wodoodporna 4x1220x2440 CP/CP	szt	0	0	0
04S07/04 E	Sklejka liściasta wodoodporna 4x2440x1220 CP/CP	szt	0	0	0
04S07/05 E	Sklejka liściasta wodoodporna 4x1250x2500 CP/CP	szt	0	0	0
04S07/06 E	Sklejka liściasta wodoodporna 4x2500x1250 CP/CP	szt	0	0	0
04S07/11 E	Sklejka liściasta wodoodporna 4x1525x3050 CP/CP	szt	0	0	0
04S07/12 E	Sklejka liściasta wodoodporna 4x1500x3000 CP/CP	szt	0	0	0
04S09/03 E	Sklejka liściasta wodoodporna 4x1220x2440 WG/WG	szt	149,9933	78,78	11815,76
04S09/05 E	Sklejka liściasta wodoodporna 4x1250x2500 WG/WG	szt	0	0	0
04S09/06 E	Sklejka liściasta wodoodporna 4x2500x1250 WG/WG	szt	0	0	0
04S09/07 E	Sklejka liściasta wodoodporna 4x1500x2500 WG/WG	szt	0	0	0
04S09/11 E	Sklejka liściasta wodoodporna 4x1525x3050 WG/WG	szt	161,0282	139,24	22421,02
04S09/12 E	Sklejka liściasta wodoodporna 4x1500x3000 WG/WG	szt	0	0	0
04S09/60 E	Sklejka liściasta wodoodporna 4x1250x2750 WG/WG	szt	0	0	0
04S10/02	Sklejka liściasta suchotrwała 4x1525x1525 C/C	szt	0	0	0
04S10/03 E	Sklejka liściasta wodoodporna 4x1220x2440 C/C	szt	0	0	0
04S10/04 E	Sklejka liściasta wodoodporna 4x2440x1220 C/C	szt	0	0	0
04S10/05	Sklejka liściasta suchotrwała 4x1250x2500 C/C	szt	0	0	0
04S10/05 E	Sklejka liściasta wodoodporna 4x1250x2500 C/C	szt	0	0	0
04S10/12 E S2S	Sklejka liściasta wodoodporna 4x1500x3000mm C/C S2S	szt	0	0	0
04s11/03 E	Sklejka liściasta wodoodporna 4x1220x2440	szt	0	0	0
04S11/03 E PQ	Sklejka liściasta wodoodporna 4x1220x2440	szt	0	0	0
04S11/05 E	Sklejka liściasta wodoodporna 4x1250x2500	szt	0	0	0
04S11/05 PQ	Sklejka liściasta wodoodporna 4x1250x2500	szt	0	0	0
04S11/05 S2S	Sklejka liściasta wodoodporna 4x1250x2500 S2S	szt	0	0	0
04S11/07 E	Sklejka liściasta wodoodporna 4x1500x2500	szt	0	0	0
04S11/11 E	Sklejka liściasta wodoodporna 4x1525x3050	szt	0	0	0
04S11/11 PQ F	Sklejka liściasta foliowana wodoodporna 4x1525x3050	szt	0	0	0
04S11/12 E	Sklejka liściasta wodoodporna 4x1500x3000	szt	0	0	0
04S11/23 E	Sklejka liściasta wodoodporna 4x1500x2700 PQ	szt	0	0	0
04S11/64 PQF	Sklejka liściasta foliowana wodoodporna 4x1200x2400	szt	0	0	0
04S12/05 F/F	Sklejka liściasta foliowana 4x1250x2500 F/F	szt	61,04	129,52	7905,62
04S12/05 F/F CH	Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/F	szt	0	0	0
04S12/05 F/F grey	Sklejka liściasta foliowana 4x1250x2500 F/F grey	szt	0	0	0
04S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 4x1250x2500 F/F grey/dark brown	szt	409,5285	144,95	59359,5
04S12/05 F/F l.br.	Sklejka liściasta foliowana 4x1250x2500 F/F light brown	szt	0	0	0
04S12/05 F/F TE	Sklejka liściasta foliowana topolowa 4x1250x2500 F/F	szt	0	0	0
04S12/07 F/F grey	Sklejka liściasta foliowana 4x1500x2500 F/F grey	szt	0	0	0
04S12/09 F/F grey	Sklejka liściasta foliowana 4x1525x2500 F/F grey	szt	0	0	0
04S12/09 F/F grey/d.br	Sklejka liściasta foliowana 4x1525x2500 F/F grey/dark brown	szt	0	0	0
04S12/11 F/F	Sklejka liściasta foliowana 4x1525x3050 F/F	szt	0	0	0
04S12/11 F/F grey	Sklejka liściasta foliowana 4x1525x3050 F/F grey	szt	0	0	0
04S12/11 F/F l.br	Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz	szt	0	0	0
04S12/12 F/F	Sklejka liściasta foliowana 4x1500x3000 F/F	szt	46	180,18	8288,31
04S12/12 F/F EUK	Sklejka foliowana eukaliptus 4x1500x3000 F/F	szt	0	0	0
04S12/12 F/F grey	Sklejka liściasta foliowana 4x1500x3000 F/F grey	szt	0	0	0
04S12/12 F/F grey/d.br	Sklejka liściasta foliowana 4x1500x3000 F/F grey/dark brown	szt	129,998	274,98	35746,2
04S12/29 F/F	Sklejka liściasta foliowana 4x1250x3050 F/F	szt	0	0	0
04S13/05 F/F	Sklejka liściasta foliowana 4x1250x2500 F/F	szt	167,9909	106,12	17826,76
04S13/11 F/F grey	Sklejka liściasta foliowana 4x1525x3050 F/F szary	szt	22,0031	129,38	2846,81
04S13/11 F/F l.br	Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz	szt	0	0	0
04S13/12 F/F	Sklejka liściasta foliowana 4x1500x3000 F/F	szt	41,9992	165,39	6946,42
04S13/12 F/F grey	Sklejka liściasta foliowana 4x1500x3000 F/F grey	szt	0	0	0
04S14/05 F/W CH	Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/W	szt	0	0	0
04S18/02	Sklejka liściasta suchotrwała 4x1525x1525 CP/C	szt	0	0	0
04S18/04 E	Sklejka liściasta wodoodporna 4x2440x1220mm CP/C	szt	0	0	0
04S18/05 E	Sklejka liściasta wodoodporna 4x1250x2500 CP/C	szt	0	0	0
04S18/06 E	Sklejka liściasta wodoodporna 4x2500x1250 CP/C	szt	0	0	0
04S18/11 E	Sklejka liściasta wodoodporna 4x1525x3050 CP/C	szt	0	0	0
04S18/12 E	Sklejka liściasta wodoodporna 4x1500x3000 CP/C	szt	63,7194	96,38	6141,24
04S22/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/C	szt	0	0	0
04S22/04 E	Sklejka liściasta wodoodporna 4x2440x1220	szt	0	0	0
04S22/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/C	szt	0	0	0
04S22/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/C	szt	0	0	0
04S22/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/C	szt	0	0	0
04S22/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/C	szt	0	0	0
05S02/02	Sklejka liściasta suchotrwała 5x1525x1525 B/BB	szt	0	0	0
05S04/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/BB	szt	0	0	0
05S04/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/BB	szt	0	0	0
05S05/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/CP	szt	0	0	0
05S05/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/CP	szt	0,952	88,05	83,82
05S05/06 E	Sklejka liściasta wodoodporna 5x2500x1250 BB/CP	szt	0	0	0
05S05/09 E	Sklejka liściasta wodoodporna 5x1525x2500 BB/CP	szt	0	0	0
05S05/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/CP	szt	0	0	0
05S05/28 E	Sklejka liściasta wodoodporna 5x1525x3000 BB/CP	szt	0	0	0
05S06/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/WG	szt	0	0	0
05S06/60 E	Sklejka liściasta wodoodporna 5x1250x2750 BB/WG	szt	0	0	0
05S07/03 E	Sklejka liściasta wodoodporna 5x1220x2440 CP/CP	szt	0	0	0
05S07/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/CP	szt	0	0	0
05S07/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/CP	szt	0	0	0
05S10/02	Sklejka liściasta suchotrwała 5x1525x1525 C/C	szt	0	0	0
05S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F szara/ciemny brąz	szt	1837,8947	209,9	385775,12
